company,year,document_type,section,text
Example Energy Ltd,2025,Sustainability Report,Climate and Energy,"The company reduced Scope 1 greenhouse gas emissions through energy efficiency projects and increased renewable electricity procurement."
Example Energy Ltd,2025,Sustainability Report,Water and Waste,"Water consumption intensity decreased while wastewater treatment and recycling capacity increased."
Example Energy Ltd,2025,Sustainability Report,Biodiversity,"The company assessed biodiversity risks around operating sites and implemented ecosystem restoration measures."
Example Energy Ltd,2025,BRSR,Employees,"Employees received occupational health and safety training and the company tracked lost time injury frequency."
Example Energy Ltd,2025,BRSR,Human Rights,"The company maintains a human rights policy covering workers and key suppliers and conducts due diligence."
Example Energy Ltd,2025,BRSR,Governance,"The board includes independent directors and the audit committee oversees financial reporting and risk management."
Example Manufacturing Ltd,2025,Annual Report,Climate,"Manufacturing sites improved energy efficiency and increased the share of electricity sourced from renewable energy."
Example Manufacturing Ltd,2025,Annual Report,People,"The company expanded diversity and inclusion programs and employee training."
Example Manufacturing Ltd,2025,Annual Report,Ethics,"The code of conduct covers anti-corruption, whistleblowing and regulatory compliance."
Example Financial Services Ltd,2025,Sustainability Report,Privacy,"The company strengthened data privacy controls, cybersecurity processes and customer complaint management."
